log_file,job_id,array_idx,split,pos_ratio_true,pos_ratio_pred
13662196[1].spcc-adm1.OU,13662196,1,test,0.27,0.065
13662196[1].spcc-adm1.OU,13662196,1,val,0.201,0.056
13662196[2].spcc-adm1.OU,13662196,2,test,0.215,0.172
13662196[2].spcc-adm1.OU,13662196,2,val,0.255,0.188
13662196[3].spcc-adm1.OU,13662196,3,test,0.211,0.155
13662196[3].spcc-adm1.OU,13662196,3,val,0.251,0.205
13662196[4].spcc-adm1.OU,13662196,4,test,0.207,0.078
13662196[4].spcc-adm1.OU,13662196,4,val,0.156,0.083
13662196[5].spcc-adm1.OU,13662196,5,test,0.255,0.198
13662196[5].spcc-adm1.OU,13662196,5,val,0.27,0.204
13662196[6].spcc-adm1.OU,13662196,6,test,0.269,0.215
13662196[6].spcc-adm1.OU,13662196,6,val,0.21,0.148
13662196[7].spcc-adm1.OU,13662196,7,test,0.189,0.043
13662196[7].spcc-adm1.OU,13662196,7,val,0.142,0.036
13662196[8].spcc-adm1.OU,13662196,8,test,0.239,0.182
13662196[8].spcc-adm1.OU,13662196,8,val,0.273,0.209
13662196[9].spcc-adm1.OU,13662196,9,test,0.273,0.221
13662196[9].spcc-adm1.OU,13662196,9,val,0.246,0.208
