log_file,job_id,array_idx,tag_in_bracket,split,n,pos,pos_ratio
13662196[1].spcc-adm1.OU,13662196,1,finetune_setting,global,7339,1600,0.218
13662196[1].spcc-adm1.OU,13662196,1,finetune_setting,test,742,200,0.27
13662196[1].spcc-adm1.OU,13662196,1,finetune_setting,train,5866,1253,0.214
13662196[1].spcc-adm1.OU,13662196,1,finetune_setting,val,731,147,0.201
13662196[1].spcc-adm1.OU,13662196,1,subject_time_split|time_stratify=False,global,7339,1600,0.218
13662196[1].spcc-adm1.OU,13662196,1,subject_time_split|time_stratify=False,test,742,200,0.27
13662196[1].spcc-adm1.OU,13662196,1,subject_time_split|time_stratify=False,train,5866,1253,0.214
13662196[1].spcc-adm1.OU,13662196,1,subject_time_split|time_stratify=False,val,731,147,0.201
13662196[2].spcc-adm1.OU,13662196,2,finetune_setting,global,7453,1660,0.223
13662196[2].spcc-adm1.OU,13662196,2,finetune_setting,test,754,162,0.215
13662196[2].spcc-adm1.OU,13662196,2,finetune_setting,train,5958,1309,0.22
13662196[2].spcc-adm1.OU,13662196,2,finetune_setting,val,741,189,0.255
13662196[2].spcc-adm1.OU,13662196,2,subject_time_split|time_stratify=False,global,7453,1660,0.223
13662196[2].spcc-adm1.OU,13662196,2,subject_time_split|time_stratify=False,test,754,162,0.215
13662196[2].spcc-adm1.OU,13662196,2,subject_time_split|time_stratify=False,train,5958,1309,0.22
13662196[2].spcc-adm1.OU,13662196,2,subject_time_split|time_stratify=False,val,741,189,0.255
13662196[3].spcc-adm1.OU,13662196,3,finetune_setting,global,7055,1559,0.221
13662196[3].spcc-adm1.OU,13662196,3,finetune_setting,test,714,151,0.211
13662196[3].spcc-adm1.OU,13662196,3,finetune_setting,train,5639,1232,0.218
13662196[3].spcc-adm1.OU,13662196,3,finetune_setting,val,702,176,0.251
13662196[3].spcc-adm1.OU,13662196,3,subject_time_split|time_stratify=False,global,7055,1559,0.221
13662196[3].spcc-adm1.OU,13662196,3,subject_time_split|time_stratify=False,test,714,151,0.211
13662196[3].spcc-adm1.OU,13662196,3,subject_time_split|time_stratify=False,train,5639,1232,0.218
13662196[3].spcc-adm1.OU,13662196,3,subject_time_split|time_stratify=False,val,702,176,0.251
13662196[4].spcc-adm1.OU,13662196,4,finetune_setting,global,7518,1609,0.214
