iter	Logloss
0	0.6819313506
1	0.67153436
2	0.6637398071
3	0.6564275866
4	0.6505838641
5	0.645479751
6	0.6405856008
7	0.6353159033
8	0.6321473221
9	0.6286803699
10	0.6250168754
11	0.622364949
12	0.6200944056
13	0.6181937652
14	0.6157915703
15	0.6139795205
16	0.6124017672
17	0.6110064148
18	0.609924482
19	0.6086818059
20	0.6068991557
21	0.605254552
22	0.6036327711
23	0.602713681
24	0.6010502512
25	0.59975409
26	0.5980006575
27	0.5973182737
28	0.5959261839
29	0.594463785
30	0.5928076626
31	0.5915013861
32	0.5905492508
33	0.589336211
34	0.5878544055
35	0.586307073
36	0.5850925613
37	0.5841973674
38	0.5833459723
39	0.5823972369
40	0.5815289098
41	0.5806783181
42	0.5793947669
43	0.5778453242
44	0.5770410827
45	0.5766261746
46	0.5757720352
47	0.5747796573
48	0.5738472689
49	0.5726563784
50	0.5719302215
51	0.571237904
52	0.5703123423
53	0.5692227827
54	0.56881092
55	0.5676087273
56	0.5666610018
57	0.5655898294
58	0.5648026389
59	0.5642508883
60	0.5634417623
61	0.5625720813
62	0.5616021758
63	0.5605436664
64	0.559959425
65	0.5589101614
66	0.558178893
67	0.5573493524
68	0.5562305157
69	0.555277892
70	0.5547778227
71	0.5540137254
72	0.5529026298
73	0.5515336068
74	0.5510280843
75	0.5503566696
76	0.5495969758
77	0.5485349548
78	0.5481638765
79	0.5477285458
80	0.5467365377
81	0.5459522585
82	0.5448945609
83	0.5435566422
84	0.5425102098
85	0.5416930344
86	0.5404062511
87	0.5396638319
88	0.5391548793
89	0.5382037275
90	0.5372849601
91	0.5363816457
92	0.535278015
93	0.5341928985
94	0.5336807015
95	0.5325121261
96	0.5316181447
97	0.5310285903
98	0.5297077214
99	0.528522059
100	0.5270023305
101	0.5260261252
102	0.525065697
103	0.5245568457
104	0.5230244749
105	0.522269794
106	0.5216528377
107	0.5201735938
108	0.5190336755
109	0.5180177096
110	0.5171430553
111	0.5155390376
112	0.5147218531
113	0.5138518046
114	0.512744929
115	0.5114876417
116	0.5103090162
117	0.5093803237
118	0.5086548021
119	0.5077583236
120	0.5063564234
121	0.5056507001
122	0.5042429754
123	0.5033310297
124	0.5023061445
125	0.5009926744
126	0.5003106695
127	0.4994508366
128	0.4986984708
129	0.4976751523
130	0.4967846332
131	0.4962116008
132	0.4947431328
133	0.4937861435
134	0.492949182
135	0.4916251841
136	0.4910295355
137	0.4900737214
138	0.4893351564
139	0.4882965787
140	0.4866405754
141	0.4861256232
142	0.4850548985
143	0.4843971857
144	0.4836866683
145	0.482818121
146	0.4821539788
147	0.4815876941
148	0.480502209
149	0.4794408451
150	0.4784242965
151	0.4774628214
152	0.4763096149
153	0.4758436853
154	0.4746533044
155	0.4738797961
156	0.4732448059
157	0.4727596323
158	0.4718847769
159	0.4710063126
160	0.470388688
161	0.4692460771
162	0.4686473249
163	0.4677977497
164	0.4668925362
165	0.4661994965
166	0.4653074565
167	0.464214305
168	0.4638796714
169	0.4633742878
170	0.4625649499
171	0.4620891546
172	0.4609668475
173	0.460217203
174	0.4597130536
175	0.458577672
176	0.4577373001
177	0.4567408718
178	0.4561501123
179	0.4556968491
180	0.454694114
181	0.4537708588
182	0.452684191
183	0.45196456
184	0.4513718035
185	0.4508924562
186	0.4500455273
187	0.4497694947
188	0.449272435
189	0.4484199306
190	0.4474942882
191	0.4470660078
192	0.4461392893
193	0.445563031
194	0.4449538563
195	0.4441451576
196	0.4432803186
197	0.4424744937
198	0.4417874639
199	0.4405906796
200	0.4395547144
201	0.4384380782
202	0.4375744437
203	0.4364774362
204	0.4359930226
205	0.4352964019
206	0.4345699086
207	0.433802402
208	0.432832364
209	0.4320371191
210	0.4311903104
211	0.4302821444
212	0.4292032176
213	0.428593155
214	0.4281222761
215	0.4273676979
216	0.4266743915
217	0.4258248388
218	0.4254851712
219	0.4249778005
220	0.4246424749
221	0.4241278871
222	0.4225754102
223	0.4218355344
224	0.4214661188
225	0.4206750147
226	0.4198394851
227	0.4190999386
228	0.4183931787
229	0.4178962144
230	0.4173631159
231	0.4161296321
232	0.4153087155
233	0.4145703508
234	0.4139352396
235	0.4134544499
236	0.4128554141
237	0.4119512398
238	0.4110263969
239	0.4104613568
240	0.4099044728
241	0.4089751532
242	0.4081822786
243	0.4075382839
244	0.4068893796
245	0.4063184793
246	0.4057043497
247	0.4049970081
248	0.4045402072
249	0.4039773669
250	0.4033829821
251	0.4029886468
252	0.4022713232
