strategy,strategy_short,ratio,mode,n,f2_mean,auc_mean,auc_pr_mean,f2_std,auc_std,auc_pr_std
Baseline,Baseline,,Within,72,0.2359,0.6841,0.1990,0.0519,0.1122,0.1950
Baseline,Baseline,,Mixed,72,0.2731,0.8014,0.4741,0.0416,0.1075,0.2789
Baseline,Baseline,,Cross,72,0.1603,0.5120,0.0463,0.0187,0.0095,0.0039
RUS r=0.1,RUS,0.1,Within,72,0.2037,0.6313,0.1159,0.0427,0.0797,0.1016
RUS r=0.1,RUS,0.1,Mixed,72,0.2725,0.7877,0.4322,0.0572,0.1196,0.2546
RUS r=0.1,RUS,0.1,Cross,72,0.1787,0.5463,0.0834,0.0212,0.0433,0.0651
RUS r=0.5,RUS,0.5,Within,72,0.1910,0.5985,0.0971,0.0398,0.0665,0.0546
RUS r=0.5,RUS,0.5,Mixed,72,0.1882,0.6271,0.1331,0.0634,0.0954,0.1098
RUS r=0.5,RUS,0.5,Cross,72,0.1594,0.5239,0.0563,0.0204,0.0193,0.0194
SMOTE r=0.1,SMOTE,0.1,Within,72,0.4184,0.8754,0.4968,0.0701,0.0438,0.1965
SMOTE r=0.1,SMOTE,0.1,Mixed,72,0.4115,0.8647,0.5080,0.0644,0.0502,0.1672
SMOTE r=0.1,SMOTE,0.1,Cross,72,0.1325,0.5131,0.0464,0.0193,0.0145,0.0023
SMOTE r=0.5,SMOTE,0.5,Within,72,0.3894,0.8200,0.3726,0.0974,0.0597,0.1624
SMOTE r=0.5,SMOTE,0.5,Mixed,72,0.3881,0.7945,0.3756,0.1357,0.0884,0.2112
SMOTE r=0.5,SMOTE,0.5,Cross,72,0.1236,0.5171,0.0471,0.0177,0.0143,0.0025
SW-SMOTE r=0.1,SW-SMOTE,0.1,Within,72,0.5591,0.8897,0.6175,0.1305,0.0729,0.2580
SW-SMOTE r=0.1,SW-SMOTE,0.1,Mixed,72,0.5464,0.8543,0.5703,0.1864,0.0812,0.2997
SW-SMOTE r=0.1,SW-SMOTE,0.1,Cross,72,0.1032,0.5204,0.0481,0.0187,0.0127,0.0035
SW-SMOTE r=0.5,SW-SMOTE,0.5,Within,72,0.4500,0.8771,0.4610,0.1874,0.0578,0.2100
SW-SMOTE r=0.5,SW-SMOTE,0.5,Mixed,72,0.3502,0.8655,0.4527,0.1663,0.0476,0.1920
SW-SMOTE r=0.5,SW-SMOTE,0.5,Cross,72,0.0298,0.5177,0.0475,0.0105,0.0120,0.0026
