metric,factor,factor_key,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
F2-score,Rebalancing ($R$),condition,0.16718383352943061,0.14629410648708507,0.20272521459307416,0.3700682564787724,0.34399672637574613,0.44035866396435336
F2-score,Distance ($D$),distance,0.00021235251727427993,5.78609542387491e-05,0.0005560517744996925,0.010118798101615695,0.009216871359925096,0.02140528182780178
F2-score,Membership ($G$),level,5.296646186032379e-05,3.3046736355898667e-07,0.0015015779388908258,0.017927984237110426,0.01646002595362983,0.03756657434247644
F2-score,Mode ($M$),mode,0.3744087430160074,0.35978248147742514,0.3955772444165295,0.5758047721184557,0.5577840513805019,0.6197891377559298
AUROC,Rebalancing ($R$),condition,0.1367498886540036,0.1242539847236138,0.15492890439331652,0.2715181366570657,0.26591793076514897,0.29968387823557
AUROC,Distance ($D$),distance,0.0009067926744630489,0.0003363062754882578,0.0019486441932289153,0.019513775742474357,0.017089543275966766,0.02813840285228974
AUROC,Membership ($G$),level,0.005041294144066359,0.0021453654562927768,0.008749878742736954,0.029240728787982354,0.026170708690515077,0.04544403864819407
AUROC,Mode ($M$),mode,0.5838065721382285,0.5595847970183738,0.6102120540819231,0.7121308903283667,0.6921504736422913,0.7490832047188688
AUPRC,Rebalancing ($R$),condition,0.1314305350788651,0.11229770756559258,0.16510021533991223,0.2917066951303407,0.2922564639241099,0.35477472224030143
AUPRC,Distance ($D$),distance,0.0007141237201557055,0.00019139764578928907,0.0019237226303079119,0.023101018652419127,0.017824016933319455,0.04328517686007693
AUPRC,Membership ($G$),level,2.4870656228599476e-05,3.727433565113672e-07,0.0019388520600314627,0.037575383617795576,0.03404490350970339,0.06655995185564814
AUPRC,Mode ($M$),mode,0.3547498446561234,0.32052929607283814,0.39879721778863364,0.4993530841072646,0.47875978545719305,0.5658496667079758
