metric,factor,factor_key,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,model
F2-score,Rebalancing ($R$),condition,0.2424548380984929,0.2333702596764505,0.2611711608845022,0.4639067316314152,0.4597343093132915,0.4974615843325666,RF
F2-score,Distance ($D$),distance,0.0003970671622868,0.0001679058801291,0.0009140997201308,0.0080229559138142,0.0066629784776883,0.0167710770540932,RF
F2-score,Membership ($G$),level,0.0039418071502648,0.0016698077701555,0.007369783092025,0.0175381719650722,0.0145449497037025,0.0333844747426251,RF
F2-score,Mode ($M$),mode,0.3674983602457488,0.3547108361107697,0.3833263942563569,0.5932751873918832,0.5852493567050115,0.6200796742847923,RF
AUROC,Rebalancing ($R$),condition,0.2395769867952387,0.2242780496392107,0.2569300895397006,0.3965654561723453,0.3798386788526898,0.4272423473059696,RF
AUROC,Distance ($D$),distance,0.000970580432038,0.0004713758060256,0.0017191168997285,0.0148615186563257,0.0110858479539554,0.0245220568162307,RF
AUROC,Membership ($G$),level,0.0092552158386167,0.0072880228695582,0.0117761813951067,0.0310486026329874,0.0270961619884686,0.0431729604604491,RF
AUROC,Mode ($M$),mode,0.5044844140290639,0.4911041722497767,0.5197149824697285,0.6635921288686266,0.6578379388023835,0.6803074434610715,RF
AUPRC,Rebalancing ($R$),condition,0.2889936469345409,0.2615620710117589,0.3285037563955869,0.4601920384666393,0.4437189040529948,0.5186135313977038,RF
AUPRC,Distance ($D$),distance,0.0003526047097122,4.629360727673926e-05,0.0010601612355384,0.0102946339574875,0.0076477723102405,0.0226558717422695,RF
AUPRC,Membership ($G$),level,0.0021336531957056,0.0004513918962026,0.0053560512465847,0.025698445251182,0.0172159614014883,0.0610606350509425,RF
AUPRC,Mode ($M$),mode,0.3089538910273205,0.2932177363381913,0.3312453180151444,0.4831659551830911,0.4770935505423353,0.5188966120484717,RF
F2-score,Rebalancing ($R$),condition,0.23375491176288696,0.22567471797947203,0.24638679161654947,0.37340687157900443,0.3610867125012285,0.4005528799560221,XGBoost
F2-score,Distance ($D$),distance,0.0019176479672943156,0.001033757037339298,0.0031316441279314613,0.032920766016953915,0.028647594707073988,0.0439492347726613,XGBoost
F2-score,Membership ($G$),level,0.011043001811041956,0.007900391313241084,0.014507181058841558,0.05352930500036596,0.045981151709841205,0.06997016116205687,XGBoost
F2-score,Mode ($M$),mode,0.5003552373583159,0.4809097871071268,0.520298042955669,0.6599803540811472,0.6492195014396507,0.6826983770148712,XGBoost
AUROC,Rebalancing ($R$),condition,0.2042464707590865,0.18514906995577776,0.22498988876473144,0.29619730939321837,0.2722372716440179,0.33324804864076996,XGBoost
AUROC,Distance ($D$),distance,0.0015586436566206083,0.0006540153898386779,0.0031108249425705697,0.037655493495879024,0.034646914045932065,0.04782087624045244,XGBoost
AUROC,Membership ($G$),level,0.014510104769132618,0.0109739993640741,0.018918341309997734,0.054467122971729336,0.049873151782235316,0.06828743990797792,XGBoost
AUROC,Mode ($M$),mode,0.5726730635960535,0.5474361464038177,0.6005703438195669,0.6902949857953646,0.675495893583078,0.7166723101673086,XGBoost
AUPRC,Rebalancing ($R$),condition,0.358857831083907,0.34470657744581273,0.3782612200063031,0.4886782722319167,0.4742891121682226,0.5209616398237157,XGBoost
AUPRC,Distance ($D$),distance,0.0010495668850432167,0.0005138387118612153,0.001928038087768343,0.037380038899855805,0.030325691428892486,0.052528569199926836,XGBoost
AUPRC,Membership ($G$),level,0.006580202575178418,0.0038820560606257766,0.01003340746473281,0.04192260786329874,0.035155176110114074,0.056845962498881755,XGBoost
AUPRC,Mode ($M$),mode,0.389932323007097,0.37620954390480055,0.40664412961335883,0.5289427714556667,0.5137837557051256,0.5568242537789218,XGBoost
