model,metric,factor,factor_key,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
XGBoost,F2-score,Rebalancing ($R$),condition,0.23375491176288696,0.22567471797947203,0.24638679161654947,0.37340687157900443,0.3610867125012285,0.4005528799560221
XGBoost,F2-score,Distance ($D$),distance,0.0019176479672943156,0.001033757037339298,0.0031316441279314613,0.032920766016953915,0.028647594707073988,0.0439492347726613
XGBoost,F2-score,Membership ($G$),level,0.011043001811041956,0.007900391313241084,0.014507181058841558,0.05352930500036596,0.045981151709841205,0.06997016116205687
XGBoost,F2-score,Mode ($M$),mode,0.5003552373583159,0.4809097871071268,0.520298042955669,0.6599803540811472,0.6492195014396507,0.6826983770148712
XGBoost,AUROC,Rebalancing ($R$),condition,0.2042464707590865,0.18514906995577776,0.22498988876473144,0.29619730939321837,0.2722372716440179,0.33324804864076996
XGBoost,AUROC,Distance ($D$),distance,0.0015586436566206083,0.0006540153898386779,0.0031108249425705697,0.037655493495879024,0.034646914045932065,0.04782087624045244
XGBoost,AUROC,Membership ($G$),level,0.014510104769132618,0.0109739993640741,0.018918341309997734,0.054467122971729336,0.049873151782235316,0.06828743990797792
XGBoost,AUROC,Mode ($M$),mode,0.5726730635960535,0.5474361464038177,0.6005703438195669,0.6902949857953646,0.675495893583078,0.7166723101673086
XGBoost,AUPRC,Rebalancing ($R$),condition,0.358857831083907,0.34470657744581273,0.3782612200063031,0.4886782722319167,0.4742891121682226,0.5209616398237157
XGBoost,AUPRC,Distance ($D$),distance,0.0010495668850432167,0.0005138387118612153,0.001928038087768343,0.037380038899855805,0.030325691428892486,0.052528569199926836
XGBoost,AUPRC,Membership ($G$),level,0.006580202575178418,0.0038820560606257766,0.01003340746473281,0.04192260786329874,0.035155176110114074,0.056845962498881755
XGBoost,AUPRC,Mode ($M$),mode,0.389932323007097,0.37620954390480055,0.40664412961335883,0.5289427714556667,0.5137837557051256,0.5568242537789218
