metric,effect,type,order,S,S_lo,S_hi
F2-score,S1_condition,main,1,0.16718383352943061,0.14629410648708507,0.20272521459307416
F2-score,S1_distance,main,1,0.00021235251727427993,5.78609542387491e-05,0.0005560517744996925
F2-score,S1_level,main,1,5.296646186032379e-05,3.3046736355898667e-07,0.0015015779388908258
F2-score,S1_mode,main,1,0.3744087430160074,0.35978248147742514,0.3955772444165295
F2-score,S2_conditionxdistance,interaction_2way,2,0.0014010442762905672,0.000857495291158867,0.0033472632628602744
F2-score,S2_conditionxlevel,interaction_2way,2,0.0037472503973347403,0.0020422284957318897,0.010908402285758595
F2-score,S2_conditionxmode,interaction_2way,2,0.18626055230597716,0.17189986677205799,0.21639923073437728
F2-score,S2_distancexlevel,interaction_2way,2,0.0012558161439126803,0.00047868124843705305,0.0026698497096941057
F2-score,S2_distancexmode,interaction_2way,2,0.0003460574806055258,5.1390698388485255e-05,0.001593642237485699
F2-score,S2_levelxmode,interaction_2way,2,0.0038190300690996966,0.0005572201370729189,0.011501529267814501
F2-score,S3_conditionxdistancexlevel,interaction_3way,3,0.0007817967025586096,0.0007784199348244742,0.0026362512707415477
F2-score,S3_conditionxdistancexmode,interaction_3way,3,0.0026992647844216204,0.0018592812992567613,0.00676781779126152
F2-score,S3_conditionxlevelxmode,interaction_3way,3,0.004848658265791964,0.0027156791527272435,0.016021813007986333
F2-score,S3_distancexlevelxmode,interaction_3way,3,0.0002766099795852168,0.00022256543594649563,0.00101614943464101
F2-score,S4_conditionxdistancexlevelxmode,interaction_4way,4,0.0031458562169671958,0.0027133584547508523,0.007305113863166693
F2-score,S_residual,residual,99,0.24956016785288254,0.17673857366628368,0.27771533429221745
AUROC,S1_condition,main,1,0.1367498886540036,0.1242539847236138,0.15492890439331652
AUROC,S1_distance,main,1,0.0009067926744630489,0.0003363062754882578,0.0019486441932289153
AUROC,S1_level,main,1,0.005041294144066359,0.0021453654562927768,0.008749878742736954
AUROC,S1_mode,main,1,0.5838065721382285,0.5595847970183738,0.6102120540819231
AUROC,S2_conditionxdistance,interaction_2way,2,0.00237438796133134,0.0015735661935342208,0.0040951081648445435
AUROC,S2_conditionxlevel,interaction_2way,2,0.005976741702500457,0.0032429590028585854,0.01198889048726133
AUROC,S2_conditionxmode,interaction_2way,2,0.11128180913597546,0.10523678590973785,0.12491363993638971
AUROC,S2_distancexlevel,interaction_2way,2,0.002564984994108982,0.0018305083173346954,0.0036545337686995677
AUROC,S2_distancexmode,interaction_2way,2,0.0006346254679211975,0.00020939589884379683,0.0017591895190171062
AUROC,S2_levelxmode,interaction_2way,2,0.0022833692034589766,0.0003174921812177616,0.00586618101527267
AUROC,S3_conditionxdistancexlevel,interaction_3way,3,0.0023536433760564988,0.0018131322556348107,0.004007261312579615
AUROC,S3_conditionxdistancexmode,interaction_3way,3,0.0031038190149916137,0.0017021391639056409,0.006551482737552522
AUROC,S3_conditionxlevelxmode,interaction_3way,3,0.0034451731141894085,0.0028190871564061325,0.010224380031200533
AUROC,S3_distancexlevelxmode,interaction_3way,3,0.0013428485555843654,0.0010141660396650364,0.002116730386562053
AUROC,S4_conditionxdistancexlevelxmode,interaction_4way,4,0.006232673698017311,0.005102400589792093,0.009660436191266246
AUROC,S_residual,residual,99,0.131901376165103,0.09690615521229275,0.14137937652669644
AUPRC,S1_condition,main,1,0.1314305350788651,0.11229770756559258,0.16510021533991223
AUPRC,S1_distance,main,1,0.0007141237201557055,0.00019139764578928907,0.0019237226303079119
AUPRC,S1_level,main,1,2.4870656228599476e-05,3.727433565113672e-07,0.0019388520600314627
AUPRC,S1_mode,main,1,0.3547498446561234,0.32052929607283814,0.39879721778863364
AUPRC,S2_conditionxdistance,interaction_2way,2,0.0022318039077878207,0.0010670215335754469,0.005566663029913147
AUPRC,S2_conditionxlevel,interaction_2way,2,0.01077110318979342,0.006897292973432459,0.020986558167127765
AUPRC,S2_conditionxmode,interaction_2way,2,0.11898480805407435,0.1094546460760258,0.15251655007595574
AUPRC,S2_distancexlevel,interaction_2way,2,0.00174531631432668,0.0006624768265842589,0.003529032599417751
AUPRC,S2_distancexmode,interaction_2way,2,0.00014708770873168096,5.392420775987652e-05,0.00142714235125133
AUPRC,S2_levelxmode,interaction_2way,2,0.0002268546723231101,2.3530613335118903e-05,0.003935610113196299
AUPRC,S3_conditionxdistancexlevel,interaction_3way,3,0.004056288323761634,0.0032082039911631604,0.007581613977827281
AUPRC,S3_conditionxdistancexmode,interaction_3way,3,0.004493538554649937,0.0020357475986433828,0.011873727532608486
AUPRC,S3_conditionxlevelxmode,interaction_3way,3,0.011038090338356461,0.007310751026879743,0.025875803688111598
AUPRC,S3_distancexlevelxmode,interaction_3way,3,0.0010123324399536864,0.00041437670581442865,0.0027588160061296414
AUPRC,S4_conditionxdistancexlevelxmode,interaction_4way,4,0.008700527683051986,0.006792977352717545,0.015663736460408636
AUPRC,S_residual,residual,99,0.34967287470181635,0.26025593398003033,0.36963064554403136
