job_id,mode,distance,level,seed,ratio,accuracy,precision,recall,f1,f2,auc,auc_pr
manual_20260505_095326,mixed,dtw,in_domain,0,0.1,0.9483253588516747,0.4742268041237113,0.7692307692307693,0.5867346938775511,0.6841165972635337,0.8848486749501072,0.7886079482777789
manual_20260505_095326,mixed,dtw,in_domain,0,0.5,0.9681020733652312,0.8561151079136691,0.3979933110367893,0.54337899543379,0.4456928838951311,0.8808858199245069,0.6506678918646014
manual_20260505_151143,mixed,dtw,in_domain,1,0.1,0.9196172248803828,0.34446130500758726,0.7591973244147158,0.47390396659707723,0.6118598382749327,0.882353896676747,0.7198256730948112
manual_20260505_102333,mixed,dtw,in_domain,1,0.5,0.9653907496012759,0.8203125,0.3511705685618729,0.4918032786885246,0.39652567975830816,0.8762950694241791,0.588134112051134
manual_20260505_102334,mixed,dtw,in_domain,3,0.1,0.8972886762360447,0.18232044198895028,0.3311036789297659,0.23515439429928742,0.28464634847613574,0.7291104328669955,0.15016218008774
manual_20260505_102333,mixed,dtw,in_domain,3,0.5,0.9572567783094099,0.6347826086956522,0.24414715719063546,0.3526570048309179,0.2784134248665141,0.8457903277211091,0.4099460647040974
manual_20260505_102333,mixed,dtw,in_domain,7,0.1,0.8956937799043062,0.1619047619047619,0.2842809364548495,0.20631067961165048,0.24694944799535154,0.698632576964806,0.13226983250191493
manual_20260505_155622,mixed,dtw,in_domain,7,0.5,0.9590111642743222,0.6721311475409836,0.27424749163879597,0.38954869358669836,0.3110773899848255,0.8593575749903798,0.46050385351330764
manual_20260505_105340,mixed,dtw,in_domain,13,0.1,0.9505582137161085,0.4881720430107527,0.7591973244147158,0.5942408376963351,0.6833232992173389,0.8874700405359461,0.7857712599836519
manual_20260505_105340,mixed,dtw,in_domain,13,0.5,0.9484848484848485,0.4,0.1605351170568562,0.22911694510739858,0.182370820668693,0.8085131648004373,0.25662822070759395
manual_20260505_105340,mixed,dtw,in_domain,42,0.1,0.940829346092504,0.43155893536121676,0.7591973244147158,0.5503030303030303,0.6591173054587689,0.885440162569476,0.775070763243872
manual_20260506_011327,mixed,dtw,in_domain,42,0.5,0.9521531100478469,0.4957983193277311,0.19732441471571907,0.2822966507177033,0.22433460076045628,0.8048482940679281,0.27484905841672325
manual_20260505_112348,mixed,dtw,in_domain,123,0.1,0.9518341307814993,0.49671772428884026,0.7591973244147158,0.6005291005291006,0.6866303690260133,0.8836416145147479,0.7836508786213836
manual_20260505_112348,mixed,dtw,in_domain,123,0.5,0.9532695374800638,0.532608695652174,0.16387959866220736,0.2506393861892583,0.1902173913043478,0.8220316815556126,0.291671770228654
manual_20260505_115356,mixed,dtw,in_domain,256,0.1,0.9409888357256778,0.4331450094161959,0.7692307692307693,0.5542168674698795,0.6658946149392009,0.8800652428768032,0.7685784018302193
