CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
baseline	mixed	dtw	in_domain	NA	0	manual_20260505_095326	baseline_domain_knn_dtw_in_domain_mixed_split2_s0
baseline	mixed	dtw	in_domain	NA	1	manual_20260506_003750	baseline_domain_knn_dtw_in_domain_mixed_split2_s1
baseline	mixed	dtw	in_domain	NA	123	manual_20260505_160725	baseline_domain_knn_dtw_in_domain_mixed_split2_s123
baseline	mixed	dtw	in_domain	NA	13	manual_20260505_105340	baseline_domain_knn_dtw_in_domain_mixed_split2_s13
baseline	mixed	dtw	in_domain	NA	1337	manual_20260505_172941	baseline_domain_knn_dtw_in_domain_mixed_split2_s1337
baseline	mixed	dtw	in_domain	NA	2024	manual_20260505_195215	baseline_domain_knn_dtw_in_domain_mixed_split2_s2024
baseline	mixed	dtw	in_domain	NA	3	manual_20260505_102332	baseline_domain_knn_dtw_in_domain_mixed_split2_s3
baseline	mixed	dtw	in_domain	NA	42	manual_20260505_105340	baseline_domain_knn_dtw_in_domain_mixed_split2_s42
baseline	mixed	dtw	in_domain	NA	512	manual_20260505_115357	baseline_domain_knn_dtw_in_domain_mixed_split2_s512
baseline	mixed	dtw	in_domain	NA	7	manual_20260505_102333	baseline_domain_knn_dtw_in_domain_mixed_split2_s7
baseline	mixed	dtw	in_domain	NA	999	manual_20260506_122341	baseline_domain_knn_dtw_in_domain_mixed_split2_s999
baseline	mixed	dtw	out_domain	NA	0	manual_20260504_232119	baseline_domain_knn_dtw_out_domain_mixed_split2_s0
baseline	mixed	dtw	out_domain	NA	1	manual_20260505_060526	baseline_domain_knn_dtw_out_domain_mixed_split2_s1
baseline	mixed	dtw	out_domain	NA	123	manual_20260505_064535	baseline_domain_knn_dtw_out_domain_mixed_split2_s123
baseline	mixed	dtw	out_domain	NA	13	manual_20260505_134723	baseline_domain_knn_dtw_out_domain_mixed_split2_s13
baseline	mixed	dtw	out_domain	NA	1337	manual_20260505_083936	baseline_domain_knn_dtw_out_domain_mixed_split2_s1337
baseline	mixed	dtw	out_domain	NA	2024	manual_20260505_025210	baseline_domain_knn_dtw_out_domain_mixed_split2_s2024
baseline	mixed	dtw	out_domain	NA	256	manual_20260505_012147	baseline_domain_knn_dtw_out_domain_mixed_split2_s256
baseline	mixed	dtw	out_domain	NA	3	manual_20260504_235124	baseline_domain_knn_dtw_out_domain_mixed_split2_s3
baseline	mixed	dtw	out_domain	NA	42	manual_20260505_005138	baseline_domain_knn_dtw_out_domain_mixed_split2_s42
baseline	mixed	dtw	out_domain	NA	512	manual_20260505_153017	baseline_domain_knn_dtw_out_domain_mixed_split2_s512
baseline	mixed	dtw	out_domain	NA	7	manual_20260505_062901	baseline_domain_knn_dtw_out_domain_mixed_split2_s7
baseline	mixed	dtw	out_domain	NA	999	manual_20260505_074221	baseline_domain_knn_dtw_out_domain_mixed_split2_s999
baseline	mixed	mmd	in_domain	NA	0	manual_20260504_131932	baseline_domain_knn_mmd_in_domain_mixed_split2_s0
baseline	mixed	mmd	in_domain	NA	1	manual_20260504_131932	baseline_domain_knn_mmd_in_domain_mixed_split2_s1
baseline	mixed	mmd	in_domain	NA	123	manual_20260504_144947	baseline_domain_knn_mmd_in_domain_mixed_split2_s123
baseline	mixed	mmd	in_domain	NA	13	manual_20260504_141941	baseline_domain_knn_mmd_in_domain_mixed_split2_s13
baseline	mixed	mmd	in_domain	NA	1337	manual_20260504_162004	baseline_domain_knn_mmd_in_domain_mixed_split2_s1337
baseline	mixed	mmd	in_domain	NA	2024	manual_20260504_165012	baseline_domain_knn_mmd_in_domain_mixed_split2_s2024
baseline	mixed	mmd	in_domain	NA	3	manual_20260504_134935	baseline_domain_knn_mmd_in_domain_mixed_split2_s3
baseline	mixed	mmd	in_domain	NA	42	manual_20260505_083836	baseline_domain_knn_mmd_in_domain_mixed_split2_s42
baseline	mixed	mmd	in_domain	NA	512	manual_20260504_151952	baseline_domain_knn_mmd_in_domain_mixed_split2_s512
baseline	mixed	mmd	in_domain	NA	7	manual_20260504_134936	baseline_domain_knn_mmd_in_domain_mixed_split2_s7
baseline	mixed	mmd	in_domain	NA	999	manual_20260504_154958	baseline_domain_knn_mmd_in_domain_mixed_split2_s999
baseline	mixed	mmd	out_domain	NA	0	manual_20260504_112709	baseline_domain_knn_mmd_out_domain_mixed_split2_s0
baseline	mixed	mmd	out_domain	NA	1	manual_20260504_114044	baseline_domain_knn_mmd_out_domain_mixed_split2_s1
baseline	mixed	mmd	out_domain	NA	123	manual_20260504_203335	baseline_domain_knn_mmd_out_domain_mixed_split2_s123
baseline	mixed	mmd	out_domain	NA	13	manual_20260504_085259	baseline_domain_knn_mmd_out_domain_mixed_split2_s13
baseline	mixed	mmd	out_domain	NA	1337	manual_20260504_231446	baseline_domain_knn_mmd_out_domain_mixed_split2_s1337
baseline	mixed	mmd	out_domain	NA	2024	manual_20260505_120458	baseline_domain_knn_mmd_out_domain_mixed_split2_s2024
baseline	mixed	mmd	out_domain	NA	256	manual_20260504_135807	baseline_domain_knn_mmd_out_domain_mixed_split2_s256
baseline	mixed	mmd	out_domain	NA	3	manual_20260504_055611	baseline_domain_knn_mmd_out_domain_mixed_split2_s3
baseline	mixed	mmd	out_domain	NA	42	manual_20260504_110133	baseline_domain_knn_mmd_out_domain_mixed_split2_s42
baseline	mixed	mmd	out_domain	NA	512	manual_20260504_153826	baseline_domain_knn_mmd_out_domain_mixed_split2_s512
baseline	mixed	mmd	out_domain	NA	7	manual_20260504_092839	baseline_domain_knn_mmd_out_domain_mixed_split2_s7
baseline	mixed	mmd	out_domain	NA	999	manual_20260504_212350	baseline_domain_knn_mmd_out_domain_mixed_split2_s999
baseline	mixed	wasserstein	in_domain	NA	0	manual_20260506_060233	baseline_domain_knn_wasserstein_in_domain_mixed_split2_s0
