CONDITION	MODE	DIST	DOMAIN	RATIO	SEED	TRAIN_JOBID	TAG
smote_plain	mixed	wasserstein	out_domain	0.1	2024	manual_20260505_233035	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.1_s2024
smote_plain	mixed	wasserstein	out_domain	0.1	3	manual_20260505_202955	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.1_s3
smote_plain	mixed	wasserstein	out_domain	0.1	42	manual_20260505_210002	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.1_s42
smote_plain	mixed	wasserstein	out_domain	0.1	7	manual_20260506_023745	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.1_s7
smote_plain	mixed	wasserstein	out_domain	0.1	999	manual_20260506_080316	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.1_s999
smote_plain	mixed	wasserstein	out_domain	0.5	1	manual_20260505_202954	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.5_s1
smote_plain	mixed	wasserstein	out_domain	0.5	123	manual_20260505_213009	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.5_s123
smote_plain	mixed	wasserstein	out_domain	0.5	13	manual_20260505_210002	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.5_s13
smote_plain	mixed	wasserstein	out_domain	0.5	1337	manual_20260506_054421	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.5_s1337
smote_plain	mixed	wasserstein	out_domain	0.5	42	manual_20260506_030150	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.5_s42
smote_plain	mixed	wasserstein	out_domain	0.5	512	manual_20260506_044310	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.5_s512
smote_plain	mixed	wasserstein	out_domain	0.5	999	manual_20260506_125044	smote_plain_knn_wasserstein_out_domain_mixed_split2_ratio0.5_s999
smote_plain	source_only	dtw	in_domain	0.1	0	manual_20260505_093219	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s0
smote_plain	source_only	dtw	in_domain	0.1	1	manual_20260505_035153	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s1
smote_plain	source_only	dtw	in_domain	0.1	123	manual_20260505_052217	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s123
smote_plain	source_only	dtw	in_domain	0.1	13	manual_20260505_045209	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s13
smote_plain	source_only	dtw	in_domain	0.1	1337	manual_20260505_062230	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s1337
smote_plain	source_only	dtw	in_domain	0.1	2024	manual_20260505_130944	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s2024
smote_plain	source_only	dtw	in_domain	0.1	256	manual_20260505_122733	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s256
smote_plain	source_only	dtw	in_domain	0.1	3	manual_20260505_110112	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s3
smote_plain	source_only	dtw	in_domain	0.1	42	manual_20260505_112749	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s42
smote_plain	source_only	dtw	in_domain	0.1	512	manual_20260505_055224	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s512
smote_plain	source_only	dtw	in_domain	0.1	7	manual_20260505_111245	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s7
smote_plain	source_only	dtw	in_domain	0.1	999	manual_20260505_062230	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.1_s999
smote_plain	source_only	dtw	in_domain	0.5	0	manual_20260505_035153	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s0
smote_plain	source_only	dtw	in_domain	0.5	1	manual_20260505_101029	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s1
smote_plain	source_only	dtw	in_domain	0.5	123	manual_20260505_201922	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s123
smote_plain	source_only	dtw	in_domain	0.5	13	manual_20260505_045208	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s13
smote_plain	source_only	dtw	in_domain	0.5	1337	manual_20260505_202252	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s1337
smote_plain	source_only	dtw	in_domain	0.5	2024	manual_20260505_065237	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s2024
smote_plain	source_only	dtw	in_domain	0.5	256	manual_20260505_055222	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s256
smote_plain	source_only	dtw	in_domain	0.5	3	manual_20260505_042201	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s3
smote_plain	source_only	dtw	in_domain	0.5	42	manual_20260505_052216	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s42
smote_plain	source_only	dtw	in_domain	0.5	512	manual_20260505_055223	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s512
smote_plain	source_only	dtw	in_domain	0.5	7	manual_20260505_045208	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s7
smote_plain	source_only	dtw	in_domain	0.5	999	manual_20260505_062230	smote_plain_knn_dtw_in_domain_source_only_split2_ratio0.5_s999
smote_plain	source_only	dtw	out_domain	0.1	0	manual_20260505_014152	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s0
smote_plain	source_only	dtw	out_domain	0.1	1	manual_20260506_154802	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s1
smote_plain	source_only	dtw	out_domain	0.1	123	manual_20260503_204530	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s123
smote_plain	source_only	dtw	out_domain	0.1	13	manual_20260504_185039	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s13
smote_plain	source_only	dtw	out_domain	0.1	1337	manual_20260504_195055	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s1337
smote_plain	source_only	dtw	out_domain	0.1	2024	manual_20260504_202032	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s2024
smote_plain	source_only	dtw	out_domain	0.1	256	manual_20260504_192017	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s256
smote_plain	source_only	dtw	out_domain	0.1	3	manual_20260504_175024	smote_plain_knn_dtw_out_domain_source_only_split2_ratio0.1_s3
